ID	book_id	char_text	place_text	context_10	context_50	context_100
WEFSHY	43952	a prefect	the house	seconds at cricket : after the summer he would be <char> a prefect </char> and captain of games in <place> the house </place> . And now it was all over . As far	"week against Tonwich . "" And during the last eighteen months it had indeed seemed that these dreams were to be realised . Roland had his colours at football , he was in the Sixth , a certainty for his seconds at cricket : after the summer he would be <char> a prefect </char> and captain of games in <place> the house </place> . And now it was all over . As far as he was concerned , Fernhurst was finished . His life would be empty now without the letter every Monday morning telling of Roland 's place in form , of his scores during the week , and all the latest"	"the company of a double first . He would come down to "" commem "" and give a luncheon party at the Eversham Hotel , and the masters would come and speak to him and congratulate him on his son 's performance : "" A wonderful game of his last week against Tonwich . "" And during the last eighteen months it had indeed seemed that these dreams were to be realised . Roland had his colours at football , he was in the Sixth , a certainty for his seconds at cricket : after the summer he would be <char> a prefect </char> and captain of games in <place> the house </place> . And now it was all over . As far as he was concerned , Fernhurst was finished . His life would be empty now without the letter every Monday morning telling of Roland 's place in form , of his scores during the week , and all the latest news of a vivid communal life . That was over . And as Mr Whately mounted the train , closed the door and sat back against the carriage , he felt as though he were undergoing an operation ; a part of his being was being wrenched from him ."
LLNUCL	12972	the women of Lillie Pierce 's world	Lillie Pierce 's world	the time for silence and acceptance is past . Perhaps <char> the women of <place> Lillie Pierce 's world </place> </char> are not so much to be despaired of as some	sane and normal and righteous people were willing to pay . Men could hardly be blamed , but women should be , for the continuance of old points of view . Women are no longer ignorant or dependent , and the time for silence and acceptance is past . Perhaps <char> the women of <place> Lillie Pierce 's world </place> </char> are not so much to be despaired of as some of mine and other sheltered worlds ; the soulless , spineless , selfish ones who can not always justly draw their skirts aside , and yet do draw them with eyebrows raised , and curling lips , and gesture that	of one person paying the price of the sin of two people ; all normal ones admitted that what was wicked in a woman was wicked in a man , but agreement and admission were terms of speech . Translation into action would have meant a bigger price than even sane and normal and righteous people were willing to pay . Men could hardly be blamed , but women should be , for the continuance of old points of view . Women are no longer ignorant or dependent , and the time for silence and acceptance is past . Perhaps <char> the women of <place> Lillie Pierce 's world </place> </char> are not so much to be despaired of as some of mine and other sheltered worlds ; the soulless , spineless , selfish ones who can not always justly draw their skirts aside , and yet do draw them with eyebrows raised , and curling lips , and gesture that means much . I , too , have been a coward . I , too , have been long asleep . But there were other women who had been making splendid fight while I was wasting time , and at thought of them came courage , and under my breath
VOPSST	1709	One	three unfurnished rooms	We could go to one of the outer districts . <char> One </char> might find <place> three unfurnished rooms </place> for about eight - and - sixpence a week --	tone , ‘ for the last year of the lease . ’ ‘ And where do you propose to live ? ’ Amy inquired , coldly . ‘ There ’s no need to be in such a dear neighbourhood . We could go to one of the outer districts . <char> One </char> might find <place> three unfurnished rooms </place> for about eight - and - sixpence a week -- less than half our rent here . ’ ‘ You must do as seems good to you . ’ ‘ For Heaven ’s sake , Amy , do n’t speak to me in that way ! I ca n’t stand	she asked . ‘ Suppose I were to propose to you to leave this flat and take cheaper rooms ? ’ He uttered it in a shamefaced way , his eyes falling . Amy kept silence . ‘ We might sublet it , ’ he continued , in the same tone , ‘ for the last year of the lease . ’ ‘ And where do you propose to live ? ’ Amy inquired , coldly . ‘ There ’s no need to be in such a dear neighbourhood . We could go to one of the outer districts . <char> One </char> might find <place> three unfurnished rooms </place> for about eight - and - sixpence a week -- less than half our rent here . ’ ‘ You must do as seems good to you . ’ ‘ For Heaven ’s sake , Amy , do n’t speak to me in that way ! I ca n’t stand that ! Surely you can see that I am driven to think of every possible resource . To speak like that is to abandon me . Say you ca n’t or wo n’t do it , but do n’t treat me as if you had no share in my miseries
BRJBDB	16752	your friends	the home of the Sahib	"down that will be near your place of rest , <char> your friends </char> ? "" "" Is there a memsahib in <place> the home of the Sahib </place> ? "" she asked . "" No , Bootea ,"	"Sahib , "" and her eyes were turned toward the jewelled hill . As they rose to the hilltop that was a slab of rock and sand carrying a city , he asked : "" Where shall I put you down that will be near your place of rest , <char> your friends </char> ? "" "" Is there a memsahib in <place> the home of the Sahib </place> ? "" she asked . "" No , Bootea , not so lucky -- nobody but servants . "" "" Then I will go to the bungalow of the Sahib . "" "" Confusion ! "" he exclaimed in moral trepidation . Bootea 's hand touched his arm , and"	", so far as Bootea was concerned , he had just drifted . Now he asked : "" I 'm afraid , little girl , your Sahib is somewhat of a fool , for I have not asked where you want me to take you . "" "" Yonder , Sahib , "" and her eyes were turned toward the jewelled hill . As they rose to the hilltop that was a slab of rock and sand carrying a city , he asked : "" Where shall I put you down that will be near your place of rest , <char> your friends </char> ? "" "" Is there a memsahib in <place> the home of the Sahib </place> ? "" she asked . "" No , Bootea , not so lucky -- nobody but servants . "" "" Then I will go to the bungalow of the Sahib . "" "" Confusion ! "" he exclaimed in moral trepidation . Bootea 's hand touched his arm , and she turned her face inward to hide the hot flush that lay upon it . "" No , Sahib , not because of Bootea ; one does not sleep in the lap of a god . "" "" All right , girl , "" he answered--""sorry . "" As the"
MJKPTC	7797	you	this world	more satisfied in the end , and as long as <char> you </char> ca n't have happiness , in <place> this world </place> , I say you 'd better have satisfaction . Is	Lyddy 's advancement , as you may call it . I believe that as far forth as true happiness goes she 'd be as well off here as there . But I do n't say but what she would be more satisfied in the end , and as long as <char> you </char> ca n't have happiness , in <place> this world </place> , I say you 'd better have satisfaction . Is that Josiah Whitman 's hearse goin' past ? ” she asked , rising from her chair , and craning forward to bring her eyes on a level with the window , while she suspended the agitation of the palm -	two winters she 's taught in the Mill Village . That 's what reconciles me , on Lyddy 's account , as much as anything . I ai n't one to set much store on worldly ambition , and I never was ; and I d'know as I care for Lyddy 's advancement , as you may call it . I believe that as far forth as true happiness goes she 'd be as well off here as there . But I do n't say but what she would be more satisfied in the end , and as long as <char> you </char> ca n't have happiness , in <place> this world </place> , I say you 'd better have satisfaction . Is that Josiah Whitman 's hearse goin' past ? ” she asked , rising from her chair , and craning forward to bring her eyes on a level with the window , while she suspended the agitation of the palm - leaf fan which she had not ceased to ply during her talk ; she remained a moment with the quiescent fan pressed against her bosom , and then she stepped out of the door , and down the walk to the gate . “ Josiah ! ” she called ,
PVWTGD	57496	She	The world	base , but nowhere could they see the provider . <char> She </char> had been gone a long time . <place> The world </place> looked cold and harsh and terrifying to the children ....	, they came in front of the masking stone and tree . Here the light was stronger , was as yet quite strong . They looked down the stony slope , and they peered under the thick trees at its base , but nowhere could they see the provider . <char> She </char> had been gone a long time . <place> The world </place> looked cold and harsh and terrifying to the children .... Yet it was hard to go back into the cave , when , if they stayed out here , they might the sooner see the provider . They stayed , two small shapes huddled at the top of the runway	of the eldest one moved uncertainly , then with more assurance . She moved out of the cave mouth and around the great stone , beckoning to the next eldest to follow . He ran after her . Shag - haired , with skins from the heap gathered around them , they came in front of the masking stone and tree . Here the light was stronger , was as yet quite strong . They looked down the stony slope , and they peered under the thick trees at its base , but nowhere could they see the provider . <char> She </char> had been gone a long time . <place> The world </place> looked cold and harsh and terrifying to the children .... Yet it was hard to go back into the cave , when , if they stayed out here , they might the sooner see the provider . They stayed , two small shapes huddled at the top of the runway of stones . Something moved in the wood below . Bushes and little trees bent this way or that . Something that was strong was moving . The children ’s mouths opened , they raised themselves to their knees . The bushes shook again and nearer to the stony slope
YXHVDS	57827	my	the earth	flushed cheeks , he said unto Faranuk : “ O <char> my </char> mother , verily I will uproot this monster from <place> the earth </place> ! Yea , I , Feridoun , will cause his	the cruel Serpent King ; and , last of all , of his father ’s tragic fate . Now Feridoun listened intently unto his mother ’s tales ; then , standing up straight and tall , with blazing eyes and flushed cheeks , he said unto Faranuk : “ O <char> my </char> mother , verily I will uproot this monster from <place> the earth </place> ! Yea , I , Feridoun , will cause his name to be blotted from the Book of Kings , so that soon he shall be no more than an evil memory in the world . For long enough hath Iran groaned under his tyranny , and too long hath	mother , and questioned her as to his lineage . So Faranuk , seeing that the time was ripe , told unto her son stories of Iran and the Shahs of Old ; of the valiant Husheng ; of the glorious reign of Jemshid , his illustrious grandsire ; of the cruel Serpent King ; and , last of all , of his father ’s tragic fate . Now Feridoun listened intently unto his mother ’s tales ; then , standing up straight and tall , with blazing eyes and flushed cheeks , he said unto Faranuk : “ O <char> my </char> mother , verily I will uproot this monster from <place> the earth </place> ! Yea , I , Feridoun , will cause his name to be blotted from the Book of Kings , so that soon he shall be no more than an evil memory in the world . For long enough hath Iran groaned under his tyranny , and too long hath my father ’s blood cried for vengeance . ” But Faranuk , troubled because of the blaze she had kindled , replied warningly unto Feridoun , saying gently : “ O Pearl of my Heart , let not thy youthful anger betray thee ; for how canst thou , friendless
TARFOB	38411	the upper ranks of society	the drawing - room	for the polish and distinction produced by constant friction with <char> the upper ranks of society </char> . He went into <place> the drawing - room </place> with perfect composure , nay , with a lurking sense	butterflies . He knew life only from books . At the same time Nature had bestowed on him a frank and simple temper , some ease of speech , and a certain dignity of manner , which amply made up for the polish and distinction produced by constant friction with <char> the upper ranks of society </char> . He went into <place> the drawing - room </place> with perfect composure , nay , with a lurking sense of hostility roused by the lady 's eccentric proceeding . He bowed low on entering . The situation was , in fact , so strange , that Clementina , in spite of her pride , her experience , and her	"as has been said , had formed no intimacies with any of his fellow - students , much less had he any familiarity with the public or private entertainments of the capital . His youth and early manhood had been happily spent at home , in studying and arranging his butterflies . He knew life only from books . At the same time Nature had bestowed on him a frank and simple temper , some ease of speech , and a certain dignity of manner , which amply made up for the polish and distinction produced by constant friction with <char> the upper ranks of society </char> . He went into <place> the drawing - room </place> with perfect composure , nay , with a lurking sense of hostility roused by the lady 's eccentric proceeding . He bowed low on entering . The situation was , in fact , so strange , that Clementina , in spite of her pride , her experience , and her indifference -- it might almost be said her effrontery , was suddenly at a loss . It was only by an effort that she recovered her spirit . "" Here I am , you see , "" she said in a sharp tone , which was strangely inappropriate and discourteous"
EKYKCK	41831	she	the breakfast - room	and after Betty had spoken with Lady Dimdale , whom <char> she </char> knew , they sauntered into <place> the breakfast - room </place> , where they found some other people ; and papa	the marble busts and figures on the landings . There were two or three ladies in the great hall at the foot , with an air of being very early , and some gentlemen who were going fox hunting ; and after Betty had spoken with Lady Dimdale , whom <char> she </char> knew , they sauntered into <place> the breakfast - room </place> , where they found some other people ; and papa and Betty had a word together and then sat down side by side to their muffins and their eggs and toast and marmalade . It was not a bit like a Tideshead company breakfast . Everybody jumped up if he	gratitude ; it was so very kind of her hostess to remember that it would be difficult for the only girl in the house party to come alone to breakfast for the first time . They went along the corridor and down the great staircase , past the portraits and the marble busts and figures on the landings . There were two or three ladies in the great hall at the foot , with an air of being very early , and some gentlemen who were going fox hunting ; and after Betty had spoken with Lady Dimdale , whom <char> she </char> knew , they sauntered into <place> the breakfast - room </place> , where they found some other people ; and papa and Betty had a word together and then sat down side by side to their muffins and their eggs and toast and marmalade . It was not a bit like a Tideshead company breakfast . Everybody jumped up if he wished for a plate , or for more jam , or some cold game , which was on the sideboard with many other things . The company of servants had disappeared , and it was all as unceremonious as if the breakfasters were lunching out of doors . There was
LXQJGY	55676	his	Brer Rabbit	an ’ bimeby , dey hatter leave it all ter <place> Brer Rabbit </place> . Brer Rabbit , he put <char> his </char> han ’ ter his head , an ’ shot his	deyer all der tergedder , dey better choosen ’ mongs ’ deyse’f which un uv um wuz gwine fus ’ , an ’ he ’d choosen de res ’ when de time come . Dey jowered an ’ jowered , an ’ bimeby , dey hatter leave it all ter <place> Brer Rabbit </place> . Brer Rabbit , he put <char> his </char> han ’ ter his head , an ’ shot his eyeballs an ’ do like he studyin ’ . He say ‘ De mo ’ I think ’bout who shill be de fus ’ one , de mo ’ I git de idee dat it oughter be Brer Fox .	go dar one at a time , an ’ dey’d hatter do des like he say ; ef dey do n’t dey’ll git de notion dat it ’s a cryin’-place . “ Dey ’ gree ter dis , de creeturs did , an ’ den Brer Rabbit say dat while deyer all der tergedder , dey better choosen ’ mongs ’ deyse’f which un uv um wuz gwine fus ’ , an ’ he ’d choosen de res ’ when de time come . Dey jowered an ’ jowered , an ’ bimeby , dey hatter leave it all ter <place> Brer Rabbit </place> . Brer Rabbit , he put <char> his </char> han ’ ter his head , an ’ shot his eyeballs an ’ do like he studyin ’ . He say ‘ De mo ’ I think ’bout who shill be de fus ’ one , de mo ’ I git de idee dat it oughter be Brer Fox . He been here long ez anybody , an ’ he ’s purty well thunk uv by de neighbors -- I ai n’t never hear nobody breave a breff ag’in ’ i m. ’ “ Dey all say dat dey had Brer Fox in min ’ all de time , but
