ID	valid_relation	spatial_relation	temporal_span	narrative_tense
SRAAGF	VALID	IN	PUNCTUAL	ALREADY HAPPENED
PPMECB	VALID	IN	PUNCTUAL	ALREADY HAPPENED
ZMHOKN	VALID	NEAR	PUNCTUAL	ALREADY HAPPENED
QWMPOS	VALID	TO	PUNCTUAL	ALREADY HAPPENED
ULXGLO	VALID	IN	HABITUAL	ONGOING
QIHEVB	VALID	NO REL		
ZRLXQL	VALID	IN	HABITUAL	ALREADY HAPPENED
LRWXMZ	INVALID			
VXVGJP	INVALID			
KCUBGG	VALID	TO	HABITUAL	ONGOING
HATTWP	INVALID			
WEFSHY	VALID	NO REL		
UFZZXG	VALID	NEAR	PUNCTUAL	ONGOING
IRUKQA	VALID	IN	HABITUAL	ONGOING
MFESIQ	VALID	NEAR	PUNCTUAL	ONGOING
QERSVL	VALID	NO REL		
IOJDTV	VALID	IN	PUNCTUAL	ONGOING
DHTITV	VALID	IN	PUNCTUAL	ALREADY HAPPENED
CREVAA	VALID	NEAR	PUNCTUAL	ONGOING
UXKGQX	VALID	IN	PUNCTUAL	ONGOING
UOMSLZ	INVALID			
LWYSRV	INVALID			
MCZPOQ	VALID	IN	PUNCTUAL	ONGOING
SSQMKQ	VALID	NO REL		
SPGLFO	VALID	IN	HABITUAL	ONGOING
AVQAYG	VALID	TO	HABITUAL	ONGOING
MASANC	INVALID			
ZXUUFU	VALID	THRU	PUNCTUAL	ONGOING
XWUVQU	VALID	IN	HABITUAL	ONGOING
WISHIB	VALID	TO	HABITUAL	ONGOING
FROPBY	VALID	IN	PUNCTUAL	ONGOING
AVSYGZ	INVALID			
EDZDPN	VALID	IN	HABITUAL	ALREADY HAPPENED
ALBAQA	INVALID			
XCFWJY	INVALID			
KASLHF	INVALID			
VAGSVB	INVALID			
LOVMEO	INVALID			
YMSASB	VALID	NO REL		
MQLFFC	VALID	IN	HABITUAL	ONGOING
PODZYX	VALID	NO REL		
QFZTBO	VALID	IN	PUNCTUAL	ONGOING
RHORIY	VALID	NO REL		
ONVTFB	VALID	NO REL		
GJUSDI	VALID	NEAR	PUNCTUAL	ONGOING
ACRICI	VALID	TO	HABITUAL	ONGOING
NKZQXZ	VALID	TO	PUNCTUAL	ONGOING
CHGKRA	INVALID			
RMGOCY	VALID	FROM	PUNCTUAL	ALREADY HAPPENED
AYVUVR	VALID	NEAR	HABITUAL	ALREADY HAPPENED
QWSPGL	INVALID			
ROARAP	VALID	NO REL		
SAQFDF	VALID	NO REL		
ENLDLA	VALID	IN	PUNCTUAL	ONGOING
KACADQ	VALID	TO	PUNCTUAL	ONGOING
YROJBO	VALID	NO REL		
FRKUFN	VALID	IN	HABITUAL	ALREADY HAPPENED
ERJUDX	VALID	NO REL		
EUZRSB	INVALID			
MPVPOB	VALID	IN	PUNCTUAL	ALREADY HAPPENED
VYXTOQ	VALID	IN	HABITUAL	ONGOING
TJXGFZ	INVALID			
RGKRPO	INVALID			
ELCLGY	VALID	IN	HABITUAL	ONGOING
ZNKGMN	VALID	NEAR	PUNCTUAL	ONGOING
XGDAQK	VALID	IN	HABITUAL	ALREADY HAPPENED
OZSFFN	VALID	FROM	HABITUAL	ALREADY HAPPENED
QSHEFP	INVALID			
WAZMCI	INVALID			
QIQIYO	VALID	IN	PUNCTUAL	ALREADY HAPPENED
BQWOOE	VALID	NO REL		
ZKRVTG	VALID	IN	PUNCTUAL	ONGOING
CMNOMG	VALID	NEAR	PUNCTUAL	ONGOING
AQHCMP	VALID	IN	PUNCTUAL	ALREADY HAPPENED
RVJIEK	VALID	IN	PUNCTUAL	ONGOING
XNCQKL	VALID	TO	HABITUAL	ONGOING
IZWLEJ	VALID	NO REL		
RMALTX	VALID	TO	PUNCTUAL	ONGOING
RDANCD	VALID	NO REL		
UURSJY	VALID	IN	PUNCTUAL	ONGOING
HDYFWM	VALID	NO REL		
EZNKGN	VALID	NO REL		
RPRMJY	INVALID			
SYEVTH	VALID	IN	PUNCTUAL	ONGOING
SCSBZZ	VALID	IN	PUNCTUAL	ONGOING
WSBMJL	VALID	IN	PUNCTUAL	ONGOING
YRPAGF	VALID	IN	PUNCTUAL	ONGOING
ZVEPYT	VALID	IN	PUNCTUAL	ONGOING
DWYFLD	INVALID			
LHMZYB	VALID	IN	HABITUAL	ALREADY HAPPENED
NURBLK	VALID	IN	HABITUAL	ONGOING
RTBQSW	VALID	NO REL		
TBLDAQ	VALID	NO REL		
ROJMJL	INVALID			
TESLQO	VALID	THRU	PUNCTUAL	ONGOING
KNISOZ	VALID	NO REL		
HWJHWC	INVALID			
QGUWKC	VALID	IN	PUNCTUAL	ALREADY HAPPENED
BHWQCL	VALID	TO	PUNCTUAL	ALREADY HAPPENED
DYIZVL	INVALID			
ZZKDJM	VALID	IN	HABITUAL	ALREADY HAPPENED
NZVLAQ	INVALID			
MBRLQY	VALID	IN	PUNCTUAL	ONGOING
XRNUSZ	INVALID			
ANMLBV	VALID	TO	HABITUAL	ONGOING
DHXEPC	VALID	IN	PUNCTUAL	ALREADY HAPPENED
WBETWI	VALID	IN	PUNCTUAL	ONGOING
KWIYFH	VALID	TO	HABITUAL	ONGOING
AJMKHQ	VALID	TO	HABITUAL	ALREADY HAPPENED
OUJQYU	VALID	NO REL		
MEVMHB	VALID	NO REL		
GVZIMT	VALID	IN	HABITUAL	ONGOING
