ID	book_id	char_text	place_text	context_10	context_50	context_100
SRAAGF	2949	mother	church	want to stop , often , but I thought of <char> mother </char> in <place> church </place> with that bonnet , and I kept on ! There	bought it with the very first money I earned . Part of it came from weeding , and the weather was warm , and I can feel the way my back would sting and creak , now ! I would want to stop , often , but I thought of <char> mother </char> in <place> church </place> with that bonnet , and I kept on ! There ’s the place where Seeds , the grocer that used to trust us , had his store ; it was his children had the scarlet fever , and mother went to nurse them .	here father ’s church used to stand ; it ’s gone , now , ” he said . “ It was a wood church , painted a kind of gray ; mother had a bonnet the same color , and she used to say she matched the church . I bought it with the very first money I earned . Part of it came from weeding , and the weather was warm , and I can feel the way my back would sting and creak , now ! I would want to stop , often , but I thought of <char> mother </char> in <place> church </place> with that bonnet , and I kept on ! There ’s the place where Seeds , the grocer that used to trust us , had his store ; it was his children had the scarlet fever , and mother went to nurse them .
PPMECB	22163	Larry Colby	Maine	to talk over the doings of the past vacation . <char> Larry Colby </char> had spent the time on the coast of <place> Maine </place> , and George Granbury had been to the Thousand Islands	"after supper anyhow , "" answered Tom , dryly . And then everybody present laughed . The supper over , the boys went up to their dormitory , and here as many of the cadets as could crowded in , to talk over the doings of the past vacation . <char> Larry Colby </char> had spent the time on the coast of <place> Maine </place> , and George Granbury had been to the Thousand Islands and to Montreal . "" Yes , Crabtree is in Canada , "" said George ."	"awaited them . Here Mrs. Green met them with her round , ruddy and smiling face . "" It 's wonderful stories I 've heard of you , "" said the matron . "" I declare , you 'll have to go into a museum ! "" "" Not until after supper anyhow , "" answered Tom , dryly . And then everybody present laughed . The supper over , the boys went up to their dormitory , and here as many of the cadets as could crowded in , to talk over the doings of the past vacation . <char> Larry Colby </char> had spent the time on the coast of <place> Maine </place> , and George Granbury had been to the Thousand Islands and to Montreal . "" Yes , Crabtree is in Canada , "" said George ."
ZMHOKN	21641	me	the garden	last autumn . I saw you with Mr. Beauclerk in <place> the garden </place> then , and he told <char> me </char> afterward you had been confiding in him about your cousin	"? And who was in love with you , and you with him . The cousin he told me of---- "" "" Mr. Beauclerk ? "" "" Yes -- yes . The night of the ball at the Court , last autumn . I saw you with Mr. Beauclerk in <place> the garden </place> then , and he told <char> me </char> afterward you had been confiding in him about your cousin . The one in India ."	"and acknowledge things -- and certainly they---- "" "" Never mind them . It is the Indian cousin in whom I am interested , "" says Joyce , impatiently . "" You are sure , sure that you have n't one out there ? One whom Mr. Beauclerk knew about ? And who was in love with you , and you with him . The cousin he told me of---- "" "" Mr. Beauclerk ? "" "" Yes -- yes . The night of the ball at the Court , last autumn . I saw you with Mr. Beauclerk in <place> the garden </place> then , and he told <char> me </char> afterward you had been confiding in him about your cousin . The one in India ."
QWMPOS	37459	his	their home	class in Cooper Union ended , and Mr. Fabian escorted <char> his </char> girls to <place> their home </place> . Already , they were planning for the coming year	. Both Eleanor and Polly began to show the strain of the close application to study that they had had since October , so Anne was thankful that the schools would soon close for the Summer . Then the last class in Cooper Union ended , and Mr. Fabian escorted <char> his </char> girls to <place> their home </place> . Already , they were planning for the coming year of work , but their instructor smiled and interrupted .	and demonstrate his teachings . As June came in , Polly found New York not nearly as cool and pleasant an abode as Pebbly Pit with its altitude upon the crests of the Rockies . And she longed for a breath of the mountain air that would renew jaded senses . Both Eleanor and Polly began to show the strain of the close application to study that they had had since October , so Anne was thankful that the schools would soon close for the Summer . Then the last class in Cooper Union ended , and Mr. Fabian escorted <char> his </char> girls to <place> their home </place> . Already , they were planning for the coming year of work , but their instructor smiled and interrupted .
ULXGLO	17560	Ann	kitchen	a price fixed on them already in higher currency . <char> Ann </char> found her crying one afternoon sitting on the <place> kitchen </place> settle , with her apron over her head . When	nervous over it . It seemed dreadful to have all her husband 's little personal effects , down to his neck - band and mittens , handled over , and their worth in shillings and pence calculated . She had a price fixed on them already in higher currency . <char> Ann </char> found her crying one afternoon sitting on the <place> kitchen </place> settle , with her apron over her head . When she saw the little girl 's pitying look , she poured out her trouble to her .	part of the business , although he was not half as well fitted for it as his companion . They pried into everything with religious exactitude . Mrs. Polly watched them with beseeming awe and deference , but it was a great trial to her , and she grew very nervous over it . It seemed dreadful to have all her husband 's little personal effects , down to his neck - band and mittens , handled over , and their worth in shillings and pence calculated . She had a price fixed on them already in higher currency . <char> Ann </char> found her crying one afternoon sitting on the <place> kitchen </place> settle , with her apron over her head . When she saw the little girl 's pitying look , she poured out her trouble to her .
QIHEVB	57167	we	the lower and harbour end of the town	it amuses her , why should I mind ? As <char> we </char> go along towards <place> the lower and harbour end of the town </place> , the crowd of people gets denser and denser .	, betrays the fact that she has already coaxed me into purchasing “ a little present . ” The shopkeepers , who squat in the midst of their wares , offer no objection to Mousmé ’s inspection ; and as it amuses her , why should I mind ? As <char> we </char> go along towards <place> the lower and harbour end of the town </place> , the crowd of people gets denser and denser . If the terrors of horses — Nagasaki is as guiltless of horses as Venice itself — driven or ridden , were added to the _ djin_-harnessed _ rikishas _ , one would walk along at momentary risk of annihilation .	articles so openly displayed , and examine them at their leisure . This is what Mousmé delights in doing . She likes best the shops in which rich dress fabrics and women ’s ornaments play an important part . A tiny parcel , done up neatly in rice - paper , betrays the fact that she has already coaxed me into purchasing “ a little present . ” The shopkeepers , who squat in the midst of their wares , offer no objection to Mousmé ’s inspection ; and as it amuses her , why should I mind ? As <char> we </char> go along towards <place> the lower and harbour end of the town </place> , the crowd of people gets denser and denser . If the terrors of horses — Nagasaki is as guiltless of horses as Venice itself — driven or ridden , were added to the _ djin_-harnessed _ rikishas _ , one would walk along at momentary risk of annihilation .
ZRLXQL	1590	A good girl	home	's one sophisticated eye had grasped that at once . <char> A good girl </char> , alone , and far from <place> home </place> ! And Henri , like all soldiers , woman -	for a war - weary man . Jean forgot for a moment his anxiety for Henri 's safety in his fear for his peace of mind . For a doubt had been removed . The girl was straight . Jean 's one sophisticated eye had grasped that at once . <char> A good girl </char> , alone , and far from <place> home </place> ! And Henri , like all soldiers , woman - hungry for good women , for unpainted skins and clear eyes and the freshness and bloom of youth .	And there were dangers enough already . Highly dangerous , Jean reflected in the back of his head as he backed out with a bow . A young girl unafraid of the morning sun and sitting at a little breakfast table as fresh as herself -- that was a picture for a war - weary man . Jean forgot for a moment his anxiety for Henri 's safety in his fear for his peace of mind . For a doubt had been removed . The girl was straight . Jean 's one sophisticated eye had grasped that at once . <char> A good girl </char> , alone , and far from <place> home </place> ! And Henri , like all soldiers , woman - hungry for good women , for unpainted skins and clear eyes and the freshness and bloom of youth .
LRWXMZ	6073	Dorcas	home	of England or were able to send a sick child <place> home </place> for treatment . But of these good deeds <char> Dorcas </char> never talked , least of all to her husband .	and her own cheque - book and used her spare money as she liked . More than one poor missionary ’s wife knew this and called her blessed , as through her bounty they once again looked upon the shores of England or were able to send a sick child <place> home </place> for treatment . But of these good deeds <char> Dorcas </char> never talked , least of all to her husband . If he suspected them , after one encounter upon some such matter , in which she developed a hidden strength and purpose , he had the sense to remain silent .	. Luckily , in a way , she was her own mistress , since her fortune came to her unfettered by any marriage settlements ; moreover , it was in the hands of trustees , so that the principal could not be alienated . Therefore she had her own account and her own cheque - book and used her spare money as she liked . More than one poor missionary ’s wife knew this and called her blessed , as through her bounty they once again looked upon the shores of England or were able to send a sick child <place> home </place> for treatment . But of these good deeds <char> Dorcas </char> never talked , least of all to her husband . If he suspected them , after one encounter upon some such matter , in which she developed a hidden strength and purpose , he had the sense to remain silent .
VXVGJP	24822	their	the sea	understood each other . There was something peculiarly unresponding about <char> their </char> quiet island in <place> the sea </place> , solidly fixed into the still foundations of the world	's usual fashion of life and mine ; for him there were long days of silence in a sea - going boat , and I could believe that he and his mother usually spoke very little because they so perfectly understood each other . There was something peculiarly unresponding about <char> their </char> quiet island in <place> the sea </place> , solidly fixed into the still foundations of the world , against whose rocky shores the sea beats and calls and is unanswered . We were quite half an hour going through the woods ; the horse 's feet made no sound on the brown , soft track under the	and all the still little beasts that belonged there . But it was mortifying to find how strong the habit of idle speech may become in one 's self . One need not always be saying something in this noisy world . I grew conscious of the difference between William 's usual fashion of life and mine ; for him there were long days of silence in a sea - going boat , and I could believe that he and his mother usually spoke very little because they so perfectly understood each other . There was something peculiarly unresponding about <char> their </char> quiet island in <place> the sea </place> , solidly fixed into the still foundations of the world , against whose rocky shores the sea beats and calls and is unanswered . We were quite half an hour going through the woods ; the horse 's feet made no sound on the brown , soft track under the dark evergreens .
KCUBGG	65957	her	the parlor	the nimbleness of a fawn , had darted back into <place> the parlor </place> and brought out <char> her </char> father ’s case of surgical instruments , as well as	. “ For there ’s none in these parts to nurse the sick as well as my daughter Joan . ” “ And sure I ’m ready to go , father ! ” cried the girl , who , with the nimbleness of a fawn , had darted back into <place> the parlor </place> and brought out <char> her </char> father ’s case of surgical instruments , as well as a diminutive portable chest , containing such drugs and medicines as were in use at the time . “ I ’ll have on my hood in a tick of the clock . ”	have me out , ” said he , as he buttoned himself up to the chin , and put a round , broad - brimmed black hat , with a bow and a twisted band of black cloth , tightly on to his somewhat rusty , grizzled bob - wig . “ For there ’s none in these parts to nurse the sick as well as my daughter Joan . ” “ And sure I ’m ready to go , father ! ” cried the girl , who , with the nimbleness of a fawn , had darted back into <place> the parlor </place> and brought out <char> her </char> father ’s case of surgical instruments , as well as a diminutive portable chest , containing such drugs and medicines as were in use at the time . “ I ’ll have on my hood in a tick of the clock . ”
